item_proposed	item_desired	date_proposed	date_reviewed	accepted
554	2687	2022-04-20	2022-05-12	0
556	6033	2022-05-02	2022-05-26	1
561	5208	2022-04-25	2022-06-06	0
562	7339	2022-04-22	2022-05-24	1
563	4605	2022-06-13		
564	5727	2022-04-27	2022-05-20	1
565	6140	2022-06-10	2022-06-13	1
568	4572	2022-04-15	2022-05-10	1
571	1900	2022-05-18	2022-05-23	0
572	2781	2022-06-13		
579	4307	2022-04-18	2022-05-04	0
581	4422	2022-05-02	2022-05-31	1
582	4002	2022-04-25		
587	2505	2022-05-04	2022-05-23	0
595	959	2022-05-03	2022-05-04	0
597	7266	2022-06-08		
598	2205	2022-06-13		
599	1977	2022-05-04	2022-05-17	1
600	6877	2022-04-22		
602	1108	2022-04-21	2022-04-27	1
605	6137	2022-06-08		
606	6142	2022-04-18	2022-06-06	1
607	6399	2022-05-23		
609	2969	2022-04-20	2022-04-25	0
610	824	2022-05-12	2022-05-30	1
611	1961	2022-04-15	2022-05-03	0
613	2748	2022-04-22	2022-06-07	1
614	6440	2022-04-25	2022-05-12	1
618	1417	2022-05-11	2022-05-24	1
618	5886	2022-04-20	2022-05-03	0
621	5073	2022-04-19	2022-06-01	1
629	5455	2022-06-08		
629	5606	2022-05-04	2022-05-27	0
630	2987	2022-04-15	2022-04-22	1
633	604	2022-04-15	2022-05-27	1
634	5623	2022-04-21	2022-05-10	1
639	121	2022-04-18	2022-04-28	1
641	2209	2022-04-19	2022-04-29	1
643	4562	2022-04-25	2022-05-31	0
644	1957	2022-04-27	2022-05-04	0
648	416	2022-05-03		
652	1930	2022-04-27	2022-05-23	1
654	825	2022-04-21		
655	4946	2022-04-15	2022-06-06	0
659	3971	2022-04-29	2022-06-09	0
662	4068	2022-04-25	2022-05-25	0
663	998	2022-05-16	2022-06-09	1
665	2741	2022-05-17	2022-06-14	0
667	2020	2022-04-19	2022-04-20	1
669	4441	2022-05-18	2022-06-09	1
678	6015	2022-04-26	2022-05-19	1
679	6370	2022-04-18		
681	2986	2022-05-04	2022-05-11	0
683	645	2022-04-15	2022-06-08	1
685	1364	2022-04-22	2022-04-26	0
685	4282	2022-04-28	2022-05-06	1
686	6498	2022-05-12	2022-05-17	0
687	536	2022-04-18	2022-05-23	1
693	4434	2022-04-15	2022-04-25	1
697	6652	2022-04-26	2022-05-19	1
699	1776	2022-04-21	2022-04-22	1
701	5898	2022-05-16	2022-05-26	1
702	692	2022-06-06		
706	1411	2022-04-15	2022-05-19	1
717	5939	2022-04-19	2022-05-24	1
718	650	2022-04-26	2022-05-09	1
719	5072	2022-05-02	2022-05-13	1
720	1525	2022-04-19	2022-04-22	0
722	6543	2022-04-21	2022-05-20	1
723	3734	2022-06-01	2022-06-03	1
726	4338	2022-04-28	2022-05-02	1
728	537	2022-04-25	2022-05-20	0
729	7282	2022-06-06		
732	4102	2022-04-20		
733	4485	2022-05-19	2022-05-23	0
734	1738	2022-04-29	2022-05-05	0
734	4506	2022-05-10	2022-05-31	0
735	7095	2022-04-21	2022-05-11	1
737	5766	2022-05-09	2022-05-31	0
739	2426	2022-04-20	2022-05-20	1
744	367	2022-04-26	2022-05-17	1
746	2452	2022-04-27	2022-05-18	1
747	3703	2022-05-13	2022-06-01	1
748	3286	2022-05-05		
749	3114	2022-05-11	2022-05-12	1
750	4812	2022-04-15		
752	2652	2022-04-20	2022-04-27	0
753	1851	2022-05-04	2022-06-10	1
758	4477	2022-04-15	2022-05-02	0
758	4997	2022-05-03	2022-05-04	0
758	6328	2022-05-12		
761	4366	2022-04-22	2022-05-04	0
763	261	2022-04-20	2022-05-30	0
764	6163	2022-04-15	2022-05-02	1
766	1186	2022-04-26	2022-05-03	1
769	2328	2022-04-21	2022-04-26	1
770	1805	2022-04-20	2022-04-25	0
770	3354	2022-05-06	2022-05-26	1
773	5114	2022-04-19	2022-05-25	0
774	7102	2022-05-19	2022-06-03	0
778	4779	2022-04-21		
779	2033	2022-04-19		
780	4986	2022-05-26	2022-06-01	0
780	6401	2022-04-29	2022-05-02	0
781	7016	2022-04-25	2022-05-20	0
783	4788	2022-05-10	2022-05-12	0
784	1893	2022-04-21	2022-05-02	1
785	5634	2022-04-15	2022-05-10	1
786	1159	2022-05-16		
786	3438	2022-05-03	2022-05-16	0
787	6637	2022-05-05	2022-06-07	0
788	4539	2022-06-03	2022-06-07	0
791	6172	2022-04-25	2022-04-26	1
796	1396	2022-04-20	2022-05-20	1
797	1634	2022-04-15	2022-04-21	0
797	2382	2022-04-22	2022-05-17	1
798	4106	2022-04-28	2022-05-10	0
800	7008	2022-04-18	2022-05-11	1
801	1011	2022-05-17	2022-05-19	1
802	4755	2022-04-18	2022-04-21	1
803	7332	2022-04-15	2022-05-17	1
804	6131	2022-04-27	2022-04-29	1
805	3534	2022-05-20	2022-05-30	1
806	1322	2022-04-21	2022-04-29	1
807	578	2022-04-19	2022-06-01	1
810	2142	2022-04-18	2022-06-02	1
812	6346	2022-04-26	2022-05-09	1
813	405	2022-05-02		
814	6764	2022-05-10		
815	2594	2022-05-31	2022-06-02	0
815	2973	2022-06-07	2022-06-09	1
821	5194	2022-04-22	2022-04-26	0
822	942	2022-05-05	2022-06-10	0
827	628	2022-04-18	2022-05-06	1
828	2828	2022-04-25	2022-05-10	0
830	6460	2022-04-26	2022-05-20	1
831	5234	2022-04-15	2022-04-20	0
832	670	2022-04-15	2022-05-17	1
836	4838	2022-05-03	2022-05-17	0
836	6230	2022-06-08		
838	6837	2022-05-12	2022-06-02	1
840	7345	2022-04-26	2022-05-09	0
842	3166	2022-05-10	2022-05-31	1
844	4644	2022-04-15	2022-04-20	1
847	5979	2022-04-19	2022-05-19	0
848	6753	2022-05-04	2022-05-06	1
849	1197	2022-06-13		
850	4872	2022-04-22	2022-05-05	0
852	7017	2022-04-15	2022-04-21	1
853	245	2022-04-20	2022-06-03	1
858	434	2022-04-20	2022-05-10	1
863	411	2022-04-19	2022-04-21	0
864	6240	2022-05-17	2022-06-10	1
865	7136	2022-04-29	2022-05-18	1
867	1415	2022-06-09	2022-06-13	1
869	955	2022-04-20	2022-05-19	1
872	7227	2022-04-22	2022-05-03	0
873	5513	2022-04-19		
874	5508	2022-05-06	2022-05-17	1
876	2560	2022-04-19	2022-06-03	1
876	5351	2022-04-18	2022-04-19	0
878	720	2022-05-06	2022-06-14	1
879	3392	2022-04-15	2022-05-02	1
880	2955	2022-05-19	2022-05-30	0
883	5048	2022-04-20	2022-05-09	1
885	6217	2022-05-12	2022-05-13	1
886	4394	2022-04-18	2022-04-19	0
889	257	2022-05-05	2022-05-19	1
891	4183	2022-04-18	2022-05-17	1
893	4730	2022-04-20	2022-04-28	1
896	5061	2022-05-25	2022-06-14	1
897	2474	2022-05-10	2022-05-20	1
898	3028	2022-04-22	2022-06-06	0
899	4621	2022-04-20	2022-04-26	1
901	2508	2022-04-18		
902	5859	2022-04-15	2022-04-22	0
902	5882	2022-04-25		
903	711	2022-05-06	2022-05-30	0
904	4739	2022-04-19	2022-05-19	1
906	3075	2022-04-15	2022-04-26	1
907	7006	2022-05-20		
908	197	2022-06-01		
911	6529	2022-05-19		
912	4160	2022-04-15	2022-04-27	0
913	3306	2022-04-20	2022-05-24	1
914	1796	2022-05-27		
914	2908	2022-04-19	2022-05-24	0
916	3964	2022-04-18	2022-05-10	1
917	4228	2022-04-20	2022-06-02	1
918	3529	2022-05-25	2022-06-06	1
920	5386	2022-04-26	2022-05-09	0
920	5610	2022-05-09	2022-05-30	1
925	72	2022-06-06		
927	3701	2022-06-01	2022-06-14	1
928	1432	2022-05-16		
929	6814	2022-04-20	2022-05-02	1
930	6709	2022-04-21	2022-04-26	0
931	4908	2022-04-15	2022-04-19	0
932	4149	2022-05-09	2022-05-12	0
934	7000	2022-04-27	2022-05-12	1
935	4302	2022-04-20	2022-05-06	1
936	2253	2022-04-21	2022-06-03	1
938	5547	2022-04-18	2022-05-24	1
940	2060	2022-06-03		
941	3374	2022-04-21		
943	5274	2022-04-15	2022-04-27	1
944	5517	2022-04-20	2022-05-09	1
945	3899	2022-04-15	2022-05-30	1
946	2943	2022-05-10	2022-05-19	0
946	6395	2022-06-03		
947	7088	2022-05-11	2022-05-18	0
952	868	2022-05-27	2022-06-10	1
953	7098	2022-04-15	2022-05-19	0
956	7009	2022-04-28	2022-06-06	1
960	2075	2022-05-04	2022-05-24	1
962	4284	2022-05-23	2022-05-30	1
963	6928	2022-05-18		
966	4531	2022-04-27		
968	6357	2022-05-04	2022-05-18	1
969	3531	2022-04-15	2022-04-20	0
969	5888	2022-04-22		
970	469	2022-06-01		
970	2261	2022-04-19	2022-04-20	0
970	2372	2022-04-21	2022-05-03	0
971	3686	2022-04-15	2022-04-21	1
974	4517	2022-04-22	2022-05-06	1
977	3058	2022-04-26		
979	6973	2022-04-25		
980	570	2022-05-05		
981	1126	2022-04-18	2022-05-05	1
983	4986	2022-04-15	2022-05-26	0
985	105	2022-06-10		
989	3814	2022-04-28	2022-05-16	0
991	7397	2022-04-27	2022-05-31	1
993	2147	2022-05-30	2022-06-13	1
994	3568	2022-06-01		
994	5267	2022-04-15	2022-05-13	0
995	6949	2022-05-16		
996	1330	2022-04-18	2022-04-27	0
999	6533	2022-06-09		
1003	3484	2022-05-12	2022-06-08	1
1005	4941	2022-04-29	2022-05-06	1
1006	754	2022-06-01	2022-06-03	0
1007	2791	2022-04-19	2022-05-31	0
1008	1208	2022-04-18	2022-05-20	0
1009	3060	2022-05-12	2022-05-17	1
1010	1896	2022-05-26		
1012	4902	2022-04-19	2022-04-27	1
1013	3238	2022-06-02	2022-06-07	1
1018	2767	2022-05-11		
1021	6815	2022-04-15	2022-04-18	0
1024	3646	2022-04-21	2022-04-26	0
1031	1323	2022-04-19	2022-05-06	0
1031	1713	2022-05-09	2022-05-17	0
1034	3481	2022-05-02	2022-05-25	0
1035	4925	2022-04-25	2022-05-02	1
1036	5991	2022-04-15	2022-05-03	1
1038	5382	2022-04-26	2022-05-09	1
1039	3015	2022-05-24		
1040	4840	2022-05-13		
1041	4537	2022-04-21	2022-05-20	1
1042	5085	2022-04-15	2022-04-20	1
1043	6330	2022-05-03		
1046	2323	2022-04-21	2022-05-02	1
1047	3987	2022-05-04	2022-06-06	1
1049	5006	2022-05-05	2022-05-12	1
1053	7021	2022-04-15		
1055	5770	2022-04-19		
1056	3482	2022-06-01	2022-06-09	0
1059	3935	2022-04-18	2022-04-20	1
1060	1170	2022-06-13		
1060	6768	2022-05-19	2022-06-10	0
1063	656	2022-04-25	2022-04-26	0
1063	5488	2022-05-12	2022-05-17	1
1067	870	2022-04-26	2022-05-03	1
1073	922	2022-04-15	2022-06-08	1
1077	5235	2022-04-27	2022-05-04	1
1080	3356	2022-04-15		
1083	3148	2022-04-25	2022-05-10	1
1087	2744	2022-05-31	2022-06-03	1
1088	727	2022-06-13		
1090	4392	2022-05-20		
1091	4255	2022-04-15	2022-05-02	0
1092	2488	2022-04-20		
1093	2528	2022-05-03	2022-05-04	0
1098	6435	2022-05-09	2022-06-10	0
1100	333	2022-04-19	2022-05-12	0
1103	765	2022-04-27	2022-04-28	1
1110	6960	2022-04-15		
1111	2587	2022-04-21	2022-05-24	0
1112	4057	2022-04-18		
1113	4269	2022-05-17	2022-05-19	1
1113	6958	2022-04-19	2022-04-22	0
1113	7366	2022-05-05	2022-05-06	0
1115	7223	2022-04-15	2022-05-31	0
1116	1521	2022-04-26	2022-04-28	1
1117	3979	2022-04-22	2022-05-04	0
1120	5946	2022-05-04	2022-05-12	0
1121	2285	2022-06-01		
1121	2919	2022-05-06	2022-06-01	0
1122	433	2022-04-15	2022-05-03	1
1125	7062	2022-04-26	2022-05-04	1
1127	1968	2022-04-19		
1130	4167	2022-05-05	2022-05-12	0
1130	4387	2022-05-24	2022-06-14	1
1133	4698	2022-04-15	2022-05-06	1
1134	6671	2022-04-19	2022-05-05	1
1135	206	2022-04-28		
1136	3522	2022-04-26		
1137	2863	2022-05-18	2022-06-03	1
1139	5675	2022-05-23	2022-06-13	1
1140	2043	2022-04-22	2022-04-29	1
1141	83	2022-04-18	2022-04-25	0
1144	4257	2022-05-12		
1147	1635	2022-04-15	2022-06-07	1
1148	210	2022-05-27	2022-05-31	0
1149	4601	2022-05-09	2022-05-12	0
1152	6321	2022-04-19		
1153	4976	2022-04-21	2022-05-12	1
1155	3932	2022-04-21	2022-04-26	0
1158	4112	2022-05-25		
1161	5309	2022-04-20		
1165	3155	2022-05-13	2022-06-03	1
1166	521	2022-04-18	2022-04-28	1
1167	6090	2022-05-27	2022-06-08	0
1169	4632	2022-04-21	2022-04-26	0
1173	1362	2022-04-15	2022-05-10	1
1175	6620	2022-05-04	2022-05-13	1
1176	3010	2022-06-14		
1177	7087	2022-04-18	2022-05-06	1
1179	2650	2022-04-25	2022-05-26	1
1180	3094	2022-05-20	2022-05-27	0
1181	6911	2022-05-16	2022-05-26	0
1184	5985	2022-05-25	2022-06-07	1
1188	1845	2022-04-19	2022-05-12	1
1189	2023	2022-04-28	2022-05-06	0
1191	1204	2022-06-07		
1192	2756	2022-04-20	2022-04-21	1
1193	2006	2022-04-15	2022-05-09	1
1194	5069	2022-04-20	2022-05-04	0
1196	2235	2022-06-01	2022-06-07	1
1199	6251	2022-04-18	2022-04-22	0
1200	5244	2022-05-05		
1203	4950	2022-04-21		
1206	4853	2022-04-15	2022-04-25	0
1206	6720	2022-04-29	2022-05-09	1
1208	5472	2022-05-23		
1209	692	2022-04-21	2022-04-22	0
1209	2480	2022-06-08		
1210	4011	2022-04-29	2022-05-04	0
1210	4910	2022-05-10	2022-06-14	1
1211	7141	2022-05-17	2022-05-25	1
1212	7035	2022-06-14		
1214	2396	2022-05-02	2022-05-18	0
1219	4241	2022-04-27		
1221	1025	2022-06-10		
1222	6396	2022-04-15	2022-04-27	1
1224	6776	2022-06-07		
1230	3699	2022-05-04		
1233	6804	2022-04-15		
1235	856	2022-04-18	2022-04-29	1
1236	3962	2022-05-16	2022-06-06	0
1240	1398	2022-04-25	2022-06-03	0
1242	5198	2022-04-21	2022-05-20	1
1243	1365	2022-04-18	2022-04-21	1
1244	3393	2022-04-22	2022-06-02	1
1245	3856	2022-05-06	2022-05-10	1
1247	1571	2022-04-15	2022-04-22	1
1254	3976	2022-05-09	2022-05-10	1
1255	3091	2022-04-19	2022-04-22	0
1258	612	2022-04-15	2022-04-21	1
1259	2845	2022-05-12	2022-05-20	0
1260	5670	2022-05-04		
1265	4810	2022-04-15		
1270	2027	2022-04-18	2022-06-02	1
1273	1491	2022-04-21	2022-06-02	1
1278	5205	2022-04-20	2022-06-08	1
1280	3427	2022-04-21	2022-04-22	1
1281	6867	2022-06-14		
1282	7061	2022-05-26		
1283	1124	2022-04-15		
1284	3841	2022-04-22	2022-04-27	1
1286	6836	2022-05-13	2022-05-27	1
1290	3157	2022-04-15	2022-04-29	1
1291	3383	2022-04-22	2022-05-25	0
1292	5822	2022-05-04	2022-06-03	1
1294	6971	2022-05-17		
1295	6741	2022-05-20	2022-05-24	1
1297	2850	2022-04-25	2022-06-02	1
1298	110	2022-04-15	2022-05-24	1
1301	2108	2022-05-06	2022-06-09	1
1301	5731	2022-04-18	2022-05-03	0
1302	2694	2022-04-26	2022-05-20	1
1309	5865	2022-04-19	2022-05-02	1
1314	6862	2022-04-22	2022-06-02	1
1316	2774	2022-04-20	2022-04-21	1
1317	4832	2022-05-17	2022-05-19	0
1318	6664	2022-04-15		
1323	4383	2022-05-12	2022-06-09	0
1325	3406	2022-04-18		
1326	2278	2022-04-15	2022-05-06	1
1327	5029	2022-04-19	2022-04-20	0
1332	2613	2022-04-22	2022-04-28	1
1341	1741	2022-04-15	2022-04-20	1
1343	1682	2022-06-14		
1343	5583	2022-05-18	2022-06-10	0
1348	1632	2022-05-19	2022-05-23	1
1349	3332	2022-05-05	2022-05-10	1
1351	430	2022-04-15	2022-04-21	0
1353	1311	2022-05-23	2022-05-30	0
1354	592	2022-04-19	2022-04-20	1
1357	270	2022-04-29	2022-05-04	0
1357	1155	2022-05-12	2022-06-01	0
1358	2832	2022-04-18	2022-04-27	1
