Wine,Alcohol,Malic.acid,Ash,Acl,Mg,Phenols,Flavanoids,Nonflavanoid.phenols,Proanth,Color.int,Hue,OD,Proline
1,13.582238,1.869928,2.877546,18.840801,91.649664,2.78521,2.61762,0.152983,1.985619,4.882817,0.858864,3.257142,1353.998128
3,13.220556,4.239662,2.815111,25.833751,97.173413,1.202575,0.587856,0.554316,0.880149,4.961856,0.848424,2.659278,513.819749
2,11.678748,2.424461,2.266455,21.680244,104.208069,2.922394,2.847991,0.230447,2.855044,2.308173,1.391092,2.991943,526.605464
1,14.604695,1.787323,2.587944,15.809164,88.69542,1.527982,1.465235,0.320201,1.603512,6.205619,0.621377,1.515043,595.754501
3,14.47889,3.685672,1.937404,22.057294,91.868335,1.344532,0.736397,0.576487,0.911877,5.237333,0.819512,2.753117,577.430889
1,13.034553,1.259169,1.498852,18.025192,89.408905,2.340266,2.21798,0.248612,1.591096,4.584206,0.997617,3.53858,898.693421
3,12.759508,2.021763,2.725315,21.17284,96.809135,1.249172,0.790642,0.468193,1.177966,4.95841,0.885485,1.557514,491.234162
1,12.91193,1.818091,2.562324,15.070311,109.774464,2.71695,2.937689,0.421818,1.880172,4.499454,0.987978,1.937506,673.161699
2,12.568679,2.195533,2.361245,21.780633,82.219619,3.566936,2.607085,0.428489,2.737851,5.780054,0.801268,2.367704,503.898809
3,13.049651,1.550891,2.532079,24.964813,108.071319,1.802786,0.80298,0.51711,0.688976,7.844796,0.765192,2.448653,623.00669
2,11.912108,1.691146,2.254822,15.549594,91.860221,1.938498,2.234272,0.182654,1.477908,2.928732,0.828857,2.474475,609.705617
3,13.058345,3.047866,2.607433,19.400545,115.963413,2.626441,2.703364,0.439053,1.785325,7.813777,1.372385,1.683757,357.565224
3,12.510127,4.695912,2.702177,14.753989,101.255265,1.512589,3.43671,0.675351,2.019853,8.791678,0.683679,1.509608,1021.592543
3,13.016039,3.368895,2.455795,26.762769,105.266679,2.132823,3.380462,0.449443,2.927811,3.343311,0.934313,3.244457,941.804099
3,13.493627,1.863414,2.478624,19.842638,89.388772,1.955907,0.502587,0.42349,1.41121,9.54488,0.600309,2.174155,685.109205
1,14.041594,1.39123,1.905634,11.442538,132.618563,2.664809,2.873344,0.3143,2.045822,5.368031,1.340722,3.104947,1212.461185
1,13.173535,4.598916,2.409475,21.427764,101.461071,3.142759,3.507374,0.169037,2.333288,4.069831,1.05058,3.424506,927.441134
2,12.760413,0.92894,1.823391,19.591452,81.624349,2.290114,1.280309,0.403975,0.886348,2.768273,1.085257,3.470085,432.601408
2,11.936834,1.545459,1.862927,12.985417,113.979382,2.49864,2.352619,0.329276,1.861532,3.369042,1.247218,2.762332,458.967328
1,12.856175,1.87775,2.413329,23.756073,79.677612,3.448137,0.802544,0.270406,1.297117,2.858446,1.113327,2.871401,518.122727
3,13.111348,3.333444,1.979478,20.234833,98.859876,1.81898,0.614548,0.480447,0.841513,3.363041,0.632791,2.10856,679.161029
2,13.977911,1.659026,2.88628,24.065002,81.265185,2.691907,1.855026,0.294373,1.555543,2.089982,1.283016,3.143423,433.405992
2,11.884826,1.618278,1.790359,19.927281,83.667527,2.380728,2.300972,0.211136,1.569054,3.815688,1.27123,3.179197,395.590002
2,12.296285,3.688462,2.448776,21.98475,107.664248,1.613528,1.432773,0.345244,1.457943,6.105272,0.981481,2.094867,527.00207
2,12.062611,0.821302,2.414728,21.510092,98.611534,2.609794,0.648743,0.457192,1.280316,4.841596,1.152442,2.149347,662.605473
2,12.042409,1.511868,2.411663,18.147896,95.309466,1.53788,1.754707,0.558486,2.387392,3.913881,1.064347,2.242156,517.20417
2,11.338882,1.123833,2.256098,15.139213,87.623206,2.713953,2.787958,0.359365,1.723882,2.654953,1.286365,1.952522,655.363761
2,12.559088,2.160666,1.829573,20.585746,87.552297,1.942179,2.274632,0.554446,1.539041,1.818811,0.91372,1.690993,268.904113
3,12.479298,3.107439,2.272714,18.969646,92.469249,1.828557,0.489089,0.443535,1.558737,8.421759,0.888376,1.485803,670.919383
2,12.546458,1.288201,2.257976,25.748024,92.424405,1.891119,2.362741,0.212908,1.391096,2.894788,1.043236,2.645794,362.556502
2,12.284666,2.548059,2.486776,23.464545,114.192715,2.438448,1.355073,0.637013,1.650888,2.707289,0.903521,3.27736,680.301837
1,13.77602,1.173523,1.868965,15.483699,94.848981,2.657382,1.203614,0.284784,1.471447,3.81888,0.948059,2.821877,862.930735
1,14.277864,1.710175,2.652574,19.419082,106.809796,3.155286,3.50796,0.373646,1.79662,6.39993,1.134404,2.755766,1361.824817
2,12.314911,2.260811,2.514569,17.677275,139.335925,1.770737,0.668618,0.33544,0.253962,8.789343,0.817253,1.734457,674.760568
1,13.96765,2.193165,2.526113,12.615761,111.214887,2.840386,2.413937,0.484859,1.907976,6.527212,1.080143,3.105609,1328.594695
3,13.681001,2.543612,2.376349,17.229545,93.035288,1.784095,0.531915,0.604629,0.82677,4.324048,0.883484,2.360572,678.837863
3,12.534891,4.433132,2.329558,17.594586,90.179089,3.446905,3.330865,0.442322,0.750443,5.775251,0.736927,1.758487,532.753917
1,13.223471,4.3481,2.519669,19.72953,102.440884,2.69408,3.408292,0.43616,1.343804,5.905765,1.073653,3.900744,982.267037
1,14.161563,2.091011,2.516783,19.855448,88.937556,2.690066,1.41501,0.313714,1.025465,10.145688,1.075223,3.217218,1216.681706
2,11.884951,3.592181,1.851879,20.107479,84.480152,1.933588,2.189206,0.294968,2.316181,3.200604,1.100515,2.634373,495.777672
2,12.027388,1.970141,2.243173,22.616314,123.307625,2.433874,2.024954,0.18753,1.170884,2.084756,1.118808,3.467247,454.966695
1,14.65676,3.631545,2.543022,13.4879,97.422502,2.52132,2.848709,0.280529,1.782612,3.666817,0.963282,3.543567,947.837604
2,12.467206,1.211773,1.694409,15.11668,105.074133,1.871418,1.335948,0.67149,1.436799,2.130787,0.941616,2.078103,550.41576
3,12.824699,2.206933,2.344685,19.342705,107.989295,1.476925,0.655714,0.298126,1.406291,8.050582,0.637099,3.149068,766.9619
2,12.480426,2.407918,2.561458,20.372154,87.254986,1.800946,0.455312,0.280124,1.920531,3.334428,0.622175,2.15329,552.119287
2,13.545404,1.596476,2.243487,21.075433,108.233505,2.659992,1.055569,0.451489,0.816389,6.28794,0.853472,1.839939,835.262821
3,13.79612,3.599658,2.503011,20.470191,122.001062,1.441618,1.517403,0.470843,1.248005,5.109765,0.733781,2.023577,499.225127
1,13.745363,1.718386,2.412628,18.698608,131.94052,2.71889,2.585937,0.331103,1.459799,5.093482,0.922986,3.638031,1319.906675
1,13.5248,1.858102,2.220759,16.99678,108.68907,2.750358,3.70541,0.319321,2.482415,4.675678,0.806018,2.766813,1379.549408
2,12.33746,2.800395,2.315291,24.43482,91.05185,3.087351,1.894446,0.281239,1.581287,3.434129,1.210064,2.087179,446.161127
3,13.607584,4.527665,1.987418,18.751453,98.207901,1.837805,0.671257,0.578618,1.706384,4.781761,0.892442,1.634925,529.705863
3,13.447044,2.658516,2.496742,17.179651,110.481439,1.76884,0.76299,0.443018,1.283639,5.793055,1.024004,1.541163,808.983876
2,12.690889,1.63525,2.245964,21.382675,98.54416,2.429055,2.39571,0.348419,1.390839,5.586972,0.883897,3.555233,392.457508
2,12.427871,4.012376,1.976665,14.293167,81.799781,1.651242,1.219487,0.456946,1.465772,2.795251,0.978607,2.131917,494.594388
3,14.592523,3.569288,2.406577,23.510692,118.886131,2.952634,0.733982,0.416407,0.756409,6.33674,0.65596,1.295854,390.843471
2,12.554934,2.685762,2.516292,20.140725,111.592689,2.119933,1.974322,0.378408,1.579507,2.168584,0.824368,2.870771,380.923272
2,12.244601,4.098595,2.400421,21.437445,90.854968,2.225277,1.973744,0.274658,1.34618,3.474539,1.036159,3.261518,573.57583
2,11.67299,1.467884,2.691798,25.905939,73.743762,1.606958,1.40154,0.339445,1.917487,2.638769,1.069472,1.795871,543.492174
2,11.545257,1.938661,1.923225,24.993481,93.805526,2.426969,2.113668,0.515994,1.117059,1.799371,0.802595,2.737872,493.392214
2,13.632348,1.963011,2.54396,17.229028,82.451654,3.499139,2.3307,0.348794,1.913887,3.298457,1.020064,2.094946,674.175661
2,12.543544,1.766178,2.350833,21.607683,92.450358,2.736729,2.500055,0.264182,1.857492,7.01737,1.124827,2.676939,701.566662
3,14.50018,2.456722,2.526436,18.144073,94.949809,1.72374,0.847996,0.4672,0.876091,5.835631,0.491285,1.801038,526.291498
2,12.408901,1.082689,2.239589,20.59001,105.611794,1.824612,2.345623,0.419021,1.788285,2.002933,0.83827,3.41777,338.508237
2,12.015127,5.333782,2.380941,23.512051,89.152887,2.074158,1.130133,0.610988,1.513361,2.500599,1.419878,3.051897,522.196416
3,13.721126,2.7963,2.500083,17.842649,105.924245,1.595884,2.767705,0.380953,2.107978,6.996561,0.6784,2.074165,582.323006
2,12.631025,1.678457,2.312269,21.835356,88.686078,2.120717,2.015186,0.394785,0.846235,6.414873,1.225027,2.242443,336.782731
2,13.182367,2.666785,2.228656,17.666856,97.587798,3.757294,1.989241,0.299865,0.832671,5.751481,1.057733,2.747731,320.521623
1,13.635749,1.736748,2.641443,17.052382,107.772642,3.086764,3.623702,0.344767,2.133068,6.186856,0.962107,2.707088,1278.377334
2,12.542545,4.323752,2.381957,18.184272,87.309682,3.041277,1.134289,0.617613,1.580574,4.841274,1.042467,3.268298,369.942718
1,13.405945,1.855801,2.331964,25.10105,101.019811,2.133552,2.601902,0.279379,1.49692,4.770414,1.076027,3.197646,872.3314
1,13.557365,2.839447,2.482283,14.788675,97.76581,2.738671,2.93044,0.21766,1.60396,6.049627,0.968529,3.377528,1306.65508
3,13.614341,2.814103,2.513175,17.162066,90.863144,1.898436,0.409076,0.5103,1.86384,9.117211,1.22032,1.590455,675.115599
2,12.516864,1.275062,2.506665,14.976072,100.103385,2.778442,2.640221,0.24915,1.656128,5.998252,1.033811,2.608739,419.936636
1,13.547165,1.657424,2.493571,16.33284,89.339317,2.699498,3.287118,0.234781,2.512478,5.181624,0.595933,2.717772,1505.656969
1,13.967356,3.260421,2.5854,18.582926,100.353519,2.703561,4.358008,0.352149,1.863511,9.787133,1.099543,3.376583,1367.461613
1,14.304013,1.912293,2.683553,15.231979,86.88699,2.705142,3.46718,0.198677,2.716116,6.734313,1.073376,2.753725,1166.259569
2,14.335178,1.831365,1.985698,15.99229,108.600492,1.494694,3.4342,0.483831,2.63435,3.169569,1.047244,2.675394,1022.105325
1,13.903719,1.90196,2.532148,17.726719,88.1663,3.293479,4.143986,0.243965,3.256452,6.092692,1.08277,3.772299,1547.486145
2,11.704102,3.584923,2.516673,23.681591,110.47498,2.680819,2.999701,0.411265,1.524828,6.37416,1.245065,3.080896,311.64795
1,13.935625,1.721419,2.840923,27.486892,99.509377,3.221192,3.182206,0.280144,2.58676,5.836416,1.203522,2.808422,1168.646326
1,14.406165,1.850479,2.256447,14.344211,95.352865,2.781856,1.896434,0.156494,0.879698,3.71221,0.652498,3.677481,796.000567
3,13.51251,1.59366,2.34853,18.922466,137.444181,1.635269,0.695216,0.272501,1.458553,9.383863,0.717909,1.295171,919.221479
2,14.006956,3.727537,2.169346,19.639821,93.555079,1.711138,1.276701,0.403787,0.923312,5.922312,0.994184,2.731325,607.772224
1,14.491294,3.154378,1.965045,24.936209,88.929839,2.783838,2.81147,0.41571,1.857327,4.854823,0.936541,3.111363,643.759759
3,13.148887,4.58811,2.240764,17.278524,104.593644,1.409803,0.757577,0.277036,1.356468,2.095903,0.608443,3.477577,996.170845
1,14.519952,1.790961,2.882263,19.562194,95.395753,2.724238,2.037986,0.273423,1.578551,4.79654,1.086121,3.54678,907.429294
3,13.702832,3.925995,2.544008,17.384527,86.76976,1.339584,1.252262,0.27785,0.50625,3.844912,0.509823,1.325341,863.857824
3,12.800148,5.048598,2.676699,20.922666,97.53859,1.277756,1.226301,0.605764,1.411816,5.485303,0.59799,1.640226,599.357252
2,12.369147,2.286968,2.180434,20.936164,99.554287,2.812409,3.344487,0.457532,2.652483,3.744548,1.248618,3.662871,422.773189
1,13.542957,1.750596,2.375306,17.479482,97.869713,2.544557,2.830844,0.275533,1.552236,6.455512,0.998394,3.126155,942.678991
3,12.894324,3.647513,2.435405,20.310295,89.652786,2.494594,1.149793,0.278363,1.691117,5.74512,0.793581,2.926555,606.669917
3,13.705414,1.517602,2.224974,17.78245,86.017488,2.152254,3.453779,0.286786,1.703089,4.79862,0.669714,1.720628,632.781402
3,12.770018,2.905475,2.222709,21.575087,90.542527,1.570205,0.531161,0.52312,1.648647,6.067374,0.619508,1.413989,689.799965
3,13.473646,1.098989,2.316516,24.167307,93.437115,1.378871,1.298053,0.2818,1.97982,5.024553,0.857702,1.35603,548.584184
1,14.016738,1.910638,2.504702,15.081656,136.172261,2.788628,2.250956,0.274797,1.256884,4.39319,1.035597,3.113869,1190.578973
3,12.342696,2.073116,2.481379,18.877171,87.918543,1.272246,1.756427,0.55329,1.585947,8.543689,0.5596,1.751995,462.019206
1,13.490327,1.386197,2.101673,12.677752,120.443667,2.936969,2.667592,0.33525,1.251699,6.31172,1.0026,2.882378,1397.145546
1,12.815887,1.741897,2.637542,15.434343,93.951184,2.971077,3.147358,0.24829,1.116562,5.070722,1.05971,3.624065,1036.230098
1,13.571313,2.346503,2.50413,17.641836,126.046515,3.610577,3.331725,0.326939,2.738227,6.275969,0.784111,2.703161,1448.373363
2,12.085471,1.25126,2.383282,24.980616,82.675401,1.245507,2.032119,0.49192,2.745265,1.89296,0.7972,1.892665,479.348458
1,13.37187,1.372238,2.590497,16.836551,98.440865,3.127427,1.314734,0.250826,0.875408,5.956007,0.983924,3.122763,1381.297364
3,12.35424,1.807905,1.90427,21.56634,88.174759,1.676801,0.626362,0.268446,1.844054,10.663321,0.808673,1.506177,355.40859
2,13.772425,1.800115,2.467367,21.982868,100.620931,2.388957,2.686506,0.345518,2.242142,3.654699,1.217159,2.801721,627.206466
3,13.499111,1.923537,2.274079,22.6235,107.221587,1.818412,0.681608,0.386196,0.792875,9.91477,0.837532,1.515609,546.456338
3,12.809253,2.507843,2.363087,21.469881,108.500451,2.469545,4.250968,0.272543,2.575514,1.995557,0.6477,1.466104,446.894635
2,12.514019,1.165567,2.228241,19.652496,90.634764,2.287193,2.802326,0.342729,1.782695,4.642818,0.972888,3.025316,654.976987
3,13.180751,2.62811,2.31093,21.853308,101.25595,2.438673,3.47651,0.319059,1.452721,4.738285,0.523748,1.664427,674.934708
2,11.695913,1.637645,2.212891,27.595245,85.849174,1.545258,1.18427,0.441939,0.969142,4.619937,1.381343,2.815111,452.17318
3,14.212467,2.505736,2.018851,19.391445,87.282672,1.809338,2.760197,0.628114,1.792013,8.530407,0.820662,1.754437,810.283624
3,13.4882,3.00823,2.360867,19.474696,100.879818,3.029996,2.235477,0.2779,1.462444,9.368439,0.63801,2.003753,1010.990174
3,13.458514,2.667922,1.647473,16.169885,104.610313,2.710365,1.222981,0.189993,1.300233,6.84382,0.690937,1.680726,643.636625
1,14.263785,2.487227,2.639396,20.688654,110.638908,2.998009,3.301528,0.333022,1.79863,3.796137,1.065794,3.034014,1178.677014
1,13.051485,1.640552,2.527143,21.576598,105.608276,3.457556,3.404163,0.457711,1.203352,5.778446,1.333858,3.028029,1374.68566
2,11.913911,2.259945,2.315254,19.647918,121.986473,2.264729,2.37467,0.348673,1.575501,4.973179,1.108533,1.968751,689.296154
3,12.494583,4.73849,1.941153,27.55695,89.74023,1.402682,3.871801,0.572921,1.775284,3.67168,0.768272,1.91869,656.834394
1,14.075088,1.702443,2.494014,15.331878,98.101061,2.636366,2.841881,0.198695,2.205646,4.491576,1.055118,3.241086,1323.504278
1,13.085366,1.896158,2.439455,14.990818,78.883481,3.054513,2.860413,0.314974,1.287108,5.984268,1.085477,2.92183,1257.668299
2,14.506324,1.552133,2.236119,25.513375,113.24597,1.572933,3.008492,0.195298,1.969556,2.682065,0.880846,2.238796,910.853939
1,13.975018,2.08125,2.514222,16.722712,155.118896,1.971053,3.816307,0.197341,2.532321,6.347173,1.090543,2.721342,1479.036514
1,14.638338,1.364463,2.250763,18.767977,89.725695,3.559142,3.172049,0.235076,1.861795,5.303705,1.08834,2.913841,1155.049335
3,12.061917,3.638409,2.274048,18.826688,97.079983,1.908555,0.543843,0.423585,0.71875,7.464266,0.738376,2.835169,624.463757
1,13.390319,1.645196,2.389113,19.981673,103.981481,2.364495,2.051712,0.280592,1.692213,4.737337,1.289717,2.672784,929.853335
1,14.15987,1.013958,2.25858,15.30033,139.541607,2.70861,1.642196,0.41179,1.606841,4.594528,1.223279,2.772829,855.632906
2,12.569272,1.146561,1.667574,14.379812,86.017641,2.093938,2.034199,0.352782,0.72067,3.030445,0.798709,2.683565,475.843525
3,12.597774,1.651485,2.317772,21.16703,95.437757,1.725608,0.894752,0.196944,1.170389,8.880377,0.517535,1.640364,735.413427
3,12.377148,0.953969,2.115905,19.133027,99.299967,2.213571,1.214447,0.166361,1.835018,5.065507,1.145921,1.665641,340.692336
2,12.203822,0.973805,2.551254,17.45019,99.797981,2.415858,2.135667,0.323833,0.935733,5.371755,1.401582,2.975526,611.903272
1,14.163858,1.632603,2.326773,16.586687,111.790606,3.588068,2.904827,0.467505,1.294534,6.272847,0.938742,3.800707,870.865912
3,13.002926,2.413494,2.457718,20.961853,88.100923,1.667484,0.761063,0.564927,0.680699,6.168345,0.652243,1.648725,484.082736
3,12.847532,2.9025,1.877032,21.164845,87.059798,1.358817,0.728738,0.316835,1.637951,8.222065,0.764692,1.511781,798.360845
1,13.702481,1.638554,2.361891,17.603196,97.31465,2.975525,3.456914,0.240099,1.522279,3.269023,0.978327,1.463907,910.807128
3,12.257577,1.597831,2.370185,23.996911,108.099247,2.793918,3.708985,0.280076,1.679955,8.136476,0.732841,1.633448,387.835525
3,13.441533,4.146618,2.817202,20.871625,107.229322,1.924975,0.49234,0.649597,1.063238,5.582426,0.59036,1.531955,677.962259
3,13.655119,0.947871,2.064464,15.843403,98.07187,2.813412,3.135452,0.261747,2.024937,8.685968,0.861811,2.39784,708.96432
2,12.731992,1.845708,2.703376,25.836241,106.997981,1.809206,1.701044,0.554442,1.129135,2.934667,0.906237,3.206499,349.258961
1,12.995029,1.644237,2.302562,15.792031,103.488592,2.692496,2.732676,0.321149,2.036613,3.102435,1.128436,3.419799,848.732732
3,12.626219,2.73732,1.77392,12.679258,96.411491,2.202441,1.455269,0.290517,0.518128,4.246974,0.634044,2.313203,483.984232
2,13.622057,0.989535,2.238666,17.183375,84.690726,2.014881,1.278873,0.39667,1.259467,2.563835,1.221707,2.897063,681.989322
2,12.456381,2.315224,2.240431,17.587952,85.091582,1.96783,2.425984,0.338078,1.17833,2.442346,1.200571,2.842488,431.044398
1,13.978281,1.798561,2.409298,14.800547,137.581631,2.903682,3.338556,0.171737,1.621964,6.522024,1.009109,3.122739,1078.46212
2,11.827741,2.008054,2.522695,18.89887,83.005154,2.055656,3.883725,0.280786,1.671883,1.129366,1.287232,2.82543,556.167364
1,12.82431,1.612625,2.768149,20.98922,105.876101,2.269321,2.738111,0.264188,1.530966,5.583895,1.099481,3.596575,781.416744
1,13.473082,1.990837,2.319098,18.031202,96.152928,2.615619,1.272007,0.442071,0.916641,4.749493,1.121848,2.811378,1415.253031
2,11.84995,1.321153,2.584266,21.284112,91.402295,2.282454,1.911638,0.27602,1.639539,2.871988,1.255764,3.535341,379.751196
